PRODUCTO,TIPO_CARROCERIA,COMBUSTIBLE,Potencia,TRANS,FORMA_PAGO,ESTADO_CIVIL,GENERO,OcupaciOn,PROVINCIA,Campanna1,Campanna2,Campanna3,Zona_Renta,REV_Garantia,Averia_grave,QUEJA_CAC,COSTE_VENTA,km_anno,Revisiones,Edad_Cliente,Prediccion,Probabilidad_Compra,porcentaje,Tipo_Cliente
0,0,0,0,1,0,0,0,1,47,0,0,0,0,1,0,0,2594,6219,1,37,1,0.5299523,52.99523000000001,Potenciales
0,0,0,0,1,2,0,0,1,18,1,0,0,3,1,0,0,3850,6580,1,18,1,0.79756653,79.756653,Potenciales
0,0,0,0,1,2,0,0,1,47,1,0,0,0,1,1,0,2015,10132,2,42,1,0.65638196,65.63819600000001,Potenciales
0,0,0,0,1,2,0,1,1,31,0,0,1,0,0,0,0,2169,0,1,25,1,0.7555381,75.55381,Potenciales
0,0,0,0,1,2,0,1,1,7,1,0,0,3,0,3,1,3850,0,2,21,1,0.65736455,65.736455,Potenciales
0,0,0,0,1,0,0,1,2,31,1,0,0,2,0,0,0,2892,0,2,28,1,0.7263639,72.63638999999999,Potenciales
0,0,0,0,1,3,0,0,0,36,0,0,0,0,0,1,0,1590,0,1,20,1,0.7257141,72.57141,Potenciales
0,0,0,0,1,2,0,1,1,51,1,0,0,0,0,3,1,2228,0,0,23,1,0.55631334,55.631333999999995,Potenciales
0,0,0,0,1,0,0,0,1,31,0,0,0,0,1,1,0,1376,9466,2,39,1,0.75496554,75.496554,Potenciales
0,0,0,0,1,0,0,1,1,31,0,0,0,0,0,0,0,1590,0,1,21,1,0.71910214,71.910214,Potenciales
0,0,0,0,1,0,0,1,1,8,0,0,0,0,0,0,0,1376,0,1,25,1,0.6872084,68.72084000000001,Potenciales
0,0,0,0,1,2,0,0,1,49,1,0,0,0,0,0,0,2015,0,2,30,1,0.7210467,72.10467,Potenciales
0,0,0,0,1,0,0,0,1,47,0,0,0,0,0,0,0,1903,0,1,26,1,0.60769314,60.769313999999994,Potenciales
0,0,0,0,1,2,3,1,1,31,1,0,0,0,1,0,0,2228,28396,1,44,1,0.7401207,74.01207,Potenciales
0,0,0,0,1,2,0,0,1,31,1,0,1,0,0,0,1,4082,0,1,21,1,0.6823275,68.23275,Potenciales
0,0,0,0,1,2,3,0,1,20,0,0,1,0,0,0,0,2169,0,1,21,1,0.75000566,75.000566,Potenciales
0,0,0,0,1,3,3,1,1,27,0,0,0,0,0,0,0,2031,0,0,32,1,0.78203994,78.203994,Potenciales
0,0,0,0,1,2,3,0,2,32,0,0,1,1,0,0,0,3254,0,0,30,1,0.66799086,66.799086,Potenciales
0,0,0,0,1,2,0,1,1,12,1,0,1,1,0,0,0,2385,0,0,22,1,0.72563165,72.563165,Potenciales
0,0,0,0,1,2,0,1,1,2,1,0,1,1,0,0,0,4674,0,1,30,1,0.5884125,58.84125,Potenciales
0,0,0,0,0,0,0,0,1,49,1,0,0,0,1,0,0,2892,15565,2,62,1,0.7898958,78.98958,Potenciales
0,0,0,0,0,2,0,0,1,31,1,0,0,0,1,0,0,2015,13017,1,50,1,0.7515645,75.15644999999999,Potenciales
0,0,0,0,0,2,0,0,1,2,1,0,0,1,0,2,0,3850,0,1,31,1,0.61202806,61.202805999999995,Potenciales
0,0,0,0,0,0,3,1,1,20,0,0,0,0,0,0,0,1376,0,1,24,1,0.57787055,57.787054999999995,Potenciales
0,0,0,0,0,2,0,1,1,27,1,0,0,0,0,0,0,2670,0,1,26,1,0.6703699,67.03699,Potenciales
0,0,0,1,1,2,0,1,1,31,1,0,0,0,0,0,0,2015,0,2,32,1,0.7482546,74.82545999999999,Potenciales
0,0,0,0,1,0,0,1,1,8,1,0,0,2,0,0,0,3213,0,2,22,1,0.79624057,79.62405700000001,Potenciales
1,5,0,1,1,2,0,1,1,49,1,0,0,0,1,0,0,2464,11103,2,38,1,0.6066424,60.66424,Potenciales
1,5,0,1,1,0,3,1,1,31,0,0,0,0,1,0,0,1750,18663,1,54,1,0.59747046,59.747046000000005,Potenciales
1,5,0,1,1,2,0,1,1,31,1,0,0,0,1,0,0,2464,16984,1,38,1,0.66377157,66.377157,Potenciales
1,5,0,1,1,0,0,0,1,34,0,0,0,0,1,0,0,1750,21138,1,41,1,0.6507032,65.07032000000001,Potenciales
1,5,0,1,1,0,3,0,1,27,0,0,0,0,1,0,0,1654,20053,1,57,1,0.6839906,68.39906,Potenciales
1,5,0,1,1,2,0,0,1,31,1,0,0,0,1,0,0,2832,21927,2,48,1,0.6631146,66.31146,Potenciales
1,5,0,1,1,0,3,1,1,31,0,0,0,0,1,0,0,2118,12238,1,47,1,0.6555634,65.55634,Potenciales
1,5,0,1,1,3,0,0,2,3,0,0,0,0,0,0,0,1750,0,2,40,1,0.759536,75.9536,Potenciales
1,0,0,0,1,2,0,0,1,47,1,0,0,0,1,0,0,2464,19827,2,57,1,0.66563195,66.563195,Potenciales
1,0,0,0,1,3,0,0,1,7,0,0,0,0,1,0,0,2370,9306,2,54,1,0.5135039,51.350390000000004,Potenciales
1,0,0,0,1,0,0,1,1,3,0,0,0,0,1,2,0,1654,15798,2,61,1,0.75464094,75.464094,Potenciales
1,0,0,0,1,2,0,0,1,22,1,0,0,3,1,0,0,4383,16688,2,49,1,0.60316545,60.316545,Potenciales
1,0,0,1,1,3,0,1,1,8,1,0,0,0,1,3,1,3453,6809,2,28,1,0.5430772,54.30772,Potenciales
1,0,0,1,1,0,0,1,1,31,1,0,0,0,1,0,1,3453,19735,2,43,1,0.6783477,67.83477,Potenciales
1,0,0,1,1,3,3,1,1,31,0,0,0,0,0,0,0,1750,0,2,63,1,0.6679472,66.79472,Potenciales
1,0,0,1,1,3,3,1,1,9,0,0,0,0,1,0,0,1750,9869,2,61,1,0.59686786,59.686786000000005,Potenciales
1,0,0,1,1,0,0,1,1,20,0,0,0,0,1,0,0,2118,12266,2,46,1,0.61590976,61.590976,Potenciales
1,0,0,1,1,0,0,0,1,31,0,0,0,0,1,0,0,1654,15884,2,62,1,0.7901212,79.01212,Potenciales
1,0,0,1,1,0,0,0,1,31,1,0,0,2,1,2,0,4005,8076,2,41,1,0.749623,74.9623,Potenciales
1,0,0,1,1,2,3,1,2,31,1,0,0,0,1,0,0,2832,11459,2,57,1,0.65652215,65.652215,Potenciales
1,0,0,1,1,2,0,1,1,31,1,0,0,0,1,0,0,2370,9183,1,49,1,0.77093834,77.093834,Potenciales
1,0,0,1,0,3,0,1,1,31,0,0,0,0,1,0,0,1684,14808,1,61,1,0.5366491,53.66491,Potenciales
1,0,0,1,0,3,0,0,1,35,0,0,0,0,0,0,0,1592,0,2,34,1,0.64756334,64.75633400000001,Potenciales
1,0,0,2,1,0,0,0,1,31,0,0,0,0,1,1,0,2052,27822,2,49,1,0.7907445,79.07445,Potenciales
1,0,0,2,1,3,0,1,1,35,0,0,0,0,1,1,0,1684,21046,2,41,1,0.7761399,77.61399,Potenciales
1,5,0,1,1,3,0,1,1,51,0,0,0,0,0,0,0,1750,0,2,21,1,0.6398366,63.98366,Potenciales
1,5,0,1,1,3,0,1,1,49,0,0,0,0,0,0,0,1750,0,0,42,1,0.763787,76.3787,Potenciales
1,5,0,1,1,0,0,1,1,34,0,0,0,0,0,0,0,1750,0,1,54,1,0.60549504,60.549504,Potenciales
1,5,0,1,1,3,0,1,1,42,0,0,1,3,0,0,0,2625,0,1,42,1,0.7863961,78.63961,Potenciales
1,5,0,1,1,2,0,1,2,34,0,0,1,1,0,0,0,3494,0,1,56,1,0.6219971,62.199709999999996,Potenciales
1,5,0,1,1,2,3,1,1,2,0,0,1,1,0,0,0,4791,0,0,52,1,0.7687499,76.87499,Potenciales
1,0,0,0,1,2,3,1,1,16,1,0,0,0,0,0,0,2464,0,1,54,1,0.5710325,57.10325,Potenciales
1,0,0,0,1,3,1,1,1,8,0,0,0,0,0,0,0,1750,0,1,70,1,0.75697243,75.697243,Potenciales
1,0,0,1,1,3,0,1,1,30,1,0,0,3,1,0,0,3309,23435,1,54,1,0.7903681,79.03681,Potenciales
1,0,0,1,1,2,0,1,1,19,1,0,1,2,1,0,0,1654,10781,1,49,1,0.6852104,68.52104,Potenciales
1,0,0,1,1,0,0,0,2,27,1,0,0,0,0,0,0,3729,0,1,55,1,0.71875864,71.875864,Potenciales
1,0,0,1,1,0,0,0,1,31,0,0,0,0,0,0,0,1750,0,1,32,1,0.5002309,50.02309,Potenciales
1,0,0,1,1,2,0,1,1,31,1,0,0,0,0,1,0,2464,0,1,47,1,0.7885588,78.85588,Potenciales
1,0,0,1,1,3,0,0,1,31,1,0,0,0,0,0,0,1750,0,1,31,1,0.74020576,74.020576,Potenciales
1,0,0,1,1,2,3,1,1,35,0,0,1,0,0,0,0,2329,0,2,35,1,0.6331088,63.310880000000004,Potenciales
1,0,0,1,1,2,0,1,1,31,0,0,1,0,0,0,0,2329,0,0,65,1,0.79357934,79.357934,Potenciales
1,0,0,1,1,3,0,0,1,8,0,0,0,0,0,0,0,1750,0,2,46,1,0.5817159,58.171589999999995,Potenciales
1,0,0,1,1,3,0,1,1,38,0,0,0,0,0,0,0,1750,0,0,36,1,0.77224976,77.224976,Potenciales
1,0,1,1,1,2,3,1,1,2,1,0,1,1,0,0,0,4791,0,1,47,1,0.7820921,78.20921,Potenciales
1,5,0,1,1,0,0,1,1,8,1,0,0,0,0,2,0,4033,8834,4,38,1,0.7645697,76.45697,Potenciales
1,5,0,1,1,0,3,1,1,32,1,0,0,0,0,2,0,4545,8362,5,38,1,0.55832285,55.832285000000006,Potenciales
1,5,0,1,1,0,3,1,1,11,0,0,0,2,1,3,1,2476,27016,7,56,1,0.5704627,57.04627,Potenciales
1,5,0,1,1,3,0,0,1,18,0,0,0,2,0,3,1,4134,17013,7,41,1,0.6145959,61.45959,Potenciales
1,5,0,1,1,2,3,1,1,38,1,1,0,0,0,3,1,1926,18273,5,52,1,0.7262369,72.62369,Potenciales
1,5,1,1,1,0,0,1,1,31,1,0,0,0,1,2,1,4609,45317,12,55,1,0.7948149,79.48149,Potenciales
1,5,1,1,1,0,0,1,1,47,1,0,0,0,1,2,0,2293,13543,4,38,1,0.69245195,69.24519500000001,Potenciales
1,5,1,1,1,0,3,1,1,25,0,0,0,0,0,3,1,5777,7668,8,56,1,0.62070537,62.070537,Potenciales
1,5,1,1,1,0,3,1,1,4,0,0,0,1,1,2,0,4013,27014,8,40,1,0.67980176,67.980176,Potenciales
1,5,1,1,1,0,3,1,1,48,0,0,0,0,0,2,0,3146,10161,7,38,1,0.52096575,52.096575,Potenciales
1,5,1,1,1,0,0,1,1,31,0,1,0,0,0,0,0,3146,5848,4,52,1,0.55390906,55.390905999999994,Potenciales
1,5,1,1,1,3,3,1,1,11,0,0,0,0,1,3,1,1717,35192,3,60,1,0.7761952,77.61952,Potenciales
1,5,1,1,1,0,0,1,1,46,1,0,0,0,1,1,1,3667,21609,6,42,1,0.6749492,67.49492000000001,Potenciales
1,5,1,1,1,3,0,0,1,11,0,0,0,0,1,3,1,1144,28048,9,50,1,0.7469216,74.69216,Potenciales
1,5,1,1,1,0,3,1,1,26,1,0,0,1,1,1,0,5343,23839,5,37,1,0.7152616,71.52616,Potenciales
1,5,1,1,1,0,3,1,1,3,1,0,0,0,1,3,1,3286,18198,9,62,1,0.7787284,77.87284,Potenciales
1,5,1,1,1,3,3,1,1,31,0,0,0,0,1,0,0,2616,12200,9,35,1,0.77360225,77.360225,Potenciales
1,5,0,1,1,0,0,1,1,8,0,0,0,0,0,2,0,2204,7859,6,43,1,0.7351979,73.51979,Potenciales
1,5,0,1,1,0,0,0,1,51,0,0,0,0,1,2,0,2381,7056,8,42,1,0.6941547,69.41547,Potenciales
1,5,0,1,1,0,0,0,1,8,0,0,0,0,1,0,0,3667,6806,5,62,1,0.68934226,68.934226,Potenciales
1,5,0,1,1,0,3,1,1,51,0,0,0,0,1,0,0,1098,7520,7,47,1,0.5023154,50.231539999999995,Potenciales
1,5,0,1,1,3,3,1,1,20,1,0,0,0,0,0,0,3301,0,7,56,1,0.5385689,53.85689,Potenciales
1,5,0,1,1,2,0,1,1,8,0,0,0,0,1,0,0,3667,6451,6,59,1,0.52171105,52.171105,Potenciales
1,5,0,1,1,0,0,1,1,0,0,0,0,2,1,0,1,4684,5468,6,43,1,0.7005625,70.05624999999999,Potenciales
1,5,0,1,1,0,3,0,1,1,1,0,0,0,0,0,0,2195,4770,9,48,1,0.5571882,55.71882,Potenciales
1,5,0,1,1,0,0,1,1,31,0,0,0,0,0,0,0,3667,3082,6,43,1,0.6195409,61.954089999999994,Potenciales
1,5,0,1,1,3,3,1,1,31,0,0,0,0,1,0,0,3209,19044,9,47,1,0.7238606,72.38606,Potenciales
