PRODUCTO,TIPO_CARROCERIA,COMBUSTIBLE,Potencia,TRANS,FORMA_PAGO,ESTADO_CIVIL,GENERO,OcupaciOn,PROVINCIA,Campanna1,Campanna2,Campanna3,Zona_Renta,REV_Garantia,Averia_grave,QUEJA_CAC,COSTE_VENTA,km_anno,Revisiones,Edad_Cliente,Prediccion,Probabilidad_Compra,porcentaje,Tipo_Cliente
0,0,0,0,1,3,0,1,1,26,1,0,0,2,0,0,0,2892,0,1,20,1,0.98644674,98.644674,Premium
0,0,0,0,1,3,3,1,1,38,1,0,0,0,1,1,0,2892,17967,1,55,1,0.85968727,85.968727,Premium
0,0,0,0,1,0,0,0,1,31,1,0,0,0,1,1,0,4720,15105,1,49,1,0.96808213,96.808213,Premium
0,0,0,0,1,2,3,0,1,31,0,0,1,0,0,0,0,2169,0,2,27,1,0.8109437,81.09437,Premium
0,0,0,0,1,2,0,0,1,20,1,0,0,2,1,3,1,5677,22231,1,26,1,0.9330014,93.30014,Premium
0,0,0,0,1,2,0,0,1,49,1,0,0,0,1,0,0,3233,7998,2,29,1,0.8445589,84.45589,Premium
0,0,0,0,1,2,3,0,1,31,1,0,0,2,1,2,0,5677,4186,2,58,1,0.93469155,93.469155,Premium
0,0,0,0,1,3,0,0,1,18,1,0,0,3,1,2,0,4720,6124,2,37,1,0.99577147,99.577147,Premium
0,0,0,0,1,3,0,1,1,7,1,0,0,2,0,2,0,3213,0,1,20,1,0.98807937,98.807937,Premium
0,0,0,0,1,3,3,1,1,15,1,0,0,3,0,3,1,2208,0,2,32,1,0.94056,94.056,Premium
0,0,0,0,1,3,0,1,1,0,0,0,0,1,1,2,0,2064,34332,1,43,1,0.9107688,91.07688,Premium
0,0,0,0,1,2,0,0,1,40,1,0,0,2,0,0,0,4513,0,2,22,1,0.84063876,84.06387600000001,Premium
0,0,0,0,1,2,0,1,1,7,1,0,1,0,0,0,0,1376,0,2,30,1,0.928007,92.8007,Premium
0,0,0,0,1,0,0,1,1,44,1,0,0,0,0,3,1,3213,0,1,32,1,0.81323695,81.323695,Premium
0,0,0,0,1,2,2,1,2,3,1,0,0,3,1,0,0,3850,12563,1,61,1,0.8283647,82.83646999999999,Premium
0,0,0,0,1,3,0,1,1,29,1,0,0,3,1,0,0,2892,14386,1,38,1,0.92462456,92.462456,Premium
0,0,0,0,1,1,0,1,1,31,1,0,0,2,0,0,0,4720,0,2,32,1,0.9555319,95.55319,Premium
0,0,0,0,1,3,0,1,1,8,0,0,0,0,0,0,0,1376,0,1,21,1,0.82660586,82.66058600000001,Premium
0,0,0,0,1,0,2,0,1,8,1,0,0,0,0,0,0,4720,0,1,30,1,0.94014066,94.014066,Premium
0,0,0,0,1,0,0,1,1,31,1,0,0,0,0,0,0,3213,0,2,20,1,0.923289,92.3289,Premium
0,0,0,0,1,0,0,1,1,8,1,0,0,0,0,1,0,4720,0,1,19,1,0.9811989,98.11989,Premium
0,0,0,0,1,0,0,0,1,30,0,0,0,0,0,0,0,2594,0,0,30,1,0.84049344,84.049344,Premium
0,0,0,0,1,1,0,0,1,8,0,0,1,2,0,0,0,2385,0,2,30,1,0.98873526,98.873526,Premium
0,0,0,0,1,2,0,1,1,0,1,0,0,3,0,0,0,4170,0,1,19,1,0.8317667,83.17667,Premium
0,0,0,0,1,2,0,0,1,38,0,0,1,1,0,0,0,3254,0,0,30,1,0.8870415,88.70415,Premium
0,0,0,0,1,3,0,0,1,16,0,0,1,1,0,0,0,2385,0,0,22,1,0.9994671,99.94671000000001,Premium
0,0,0,0,1,0,0,0,1,49,1,0,0,0,0,0,0,3213,0,1,31,1,0.9625107,96.25107,Premium
0,0,0,0,1,0,3,1,1,2,0,0,1,1,0,0,0,2385,0,1,22,1,0.99847156,99.847156,Premium
0,0,0,0,1,3,1,1,1,32,1,0,1,1,0,0,0,2385,0,0,25,1,0.9994129,99.94129000000001,Premium
0,0,0,0,1,0,3,0,2,51,1,0,1,1,0,0,0,2385,0,1,21,1,0.9996119,99.96119,Premium
0,0,0,0,1,0,1,0,1,15,0,0,1,1,0,0,0,2385,0,1,31,1,0.9992901,99.92900999999999,Premium
0,0,0,0,1,2,0,0,1,8,1,0,1,1,0,0,0,3254,0,0,28,1,0.8027234,80.27234,Premium
0,0,0,0,1,0,3,1,1,8,0,0,1,1,0,0,0,2385,0,0,18,1,0.9994025,99.94024999999999,Premium
0,0,0,0,0,2,0,0,1,7,1,0,1,2,0,0,0,2892,0,1,23,1,0.99807906,99.807906,Premium
0,0,0,0,0,0,3,0,1,27,1,0,0,0,0,0,0,3875,0,2,23,1,0.8271845,82.71845,Premium
0,0,0,0,0,2,3,1,1,8,1,0,1,2,0,0,0,2385,0,2,23,1,0.9950053,99.50053,Premium
0,0,0,0,0,0,0,0,1,7,1,0,0,0,0,0,0,3213,0,1,30,1,0.86824906,86.824906,Premium
0,0,0,0,0,0,0,1,1,8,0,0,1,1,0,0,0,2385,0,0,18,1,0.999231,99.9231,Premium
0,0,0,0,0,0,3,0,1,31,0,0,1,1,0,0,0,2385,0,0,28,1,0.9990916,99.90916,Premium
0,0,0,1,1,0,0,1,1,31,1,0,0,2,0,0,0,4720,0,2,28,1,0.9578963,95.78963,Premium
0,0,0,1,1,2,0,1,1,8,1,0,1,2,0,0,0,4082,0,1,31,1,0.9757388,97.57388,Premium
