n_estimators,learning_rate,max_depth,min_child_weight,gamma,subsample,colsample_bytree,lambda,alpha,accuracy,f1_score,recall,roc_auc,cv_score,train_score,overfitting
500,0.1,5,3,0.0,0.9,0.7,1,0,0.8454215775158658,0.8440819254850234,0.8454215775158658,0.9298146517436929,0.928065718497008,0.9032724181895453,OK
500,0.1,5,3,0.0,0.9,0.9,1,0,0.8447416137805984,0.8434268617618116,0.8447416137805984,0.9290028813857669,0.9280690775121414,0.9066440005666525,OK
500,0.1,8,3,0.0,0.9,0.7,3,0,0.8441749773345422,0.8433588439680528,0.8441749773345422,0.9283401302764784,0.9270551489632306,0.9700240827312651,OK
500,0.1,8,5,0.0,0.9,0.9,1,0,0.8432683590208522,0.8427228048323459,0.8432683590208522,0.9269110894608175,0.9252047134531324,0.9719507012324692,OK
500,0.1,5,5,0.1,0.9,0.9,1,1,0.8439483227561196,0.8426036494210789,0.8439483227561196,0.9283316297605491,0.9278958820649535,0.9011191386881995,OK
500,0.1,8,3,0.0,0.9,0.7,1,1,0.8434950135992747,0.842512255720253,0.8434950135992747,0.9267504759710654,0.9266076207266213,0.9755772772347358,OK
500,0.1,8,3,0.0,0.7,0.9,1,0,0.843155031731641,0.8424868707729866,0.843155031731641,0.9247812476074229,0.9227174246557921,0.9822071114888794,OK
500,0.1,8,3,0.3,0.9,0.9,1,0,0.8432683590208522,0.8424621802087225,0.8432683590208522,0.9281385466130128,0.9269153548431971,0.9769089106105681,OK
500,0.1,5,3,0.3,0.9,0.7,1,1,0.8436083408884859,0.842391791387186,0.8436083408884859,0.9296389744144878,0.9277859504806092,0.9011191386881995,OK
500,0.1,5,5,0.3,0.9,0.9,3,1,0.8439483227561196,0.8423368516952884,0.8439483227561196,0.9279449141124062,0.9271994312553502,0.8971525711857203,OK
500,0.1,8,3,0.1,0.9,0.7,3,0,0.8430417044424298,0.8422783903801051,0.8430417044424298,0.9284047804588521,0.9270812458551185,0.9697124238560703,OK
500,0.1,8,3,0.1,0.9,0.9,1,0,0.842701722574796,0.8421756492187376,0.842701722574796,0.9274935482818896,0.9262261330731242,0.9812438022382773,OK
500,0.1,5,5,0.3,0.9,0.9,3,0,0.8436083408884859,0.8421436468128563,0.8436083408884859,0.9281239742999913,0.927477099567875,0.8985125371865703,OK
500,0.1,5,3,0.1,0.9,0.9,3,0,0.8434950135992747,0.8421153211410264,0.8434950135992747,0.9290650450226645,0.9278153138614765,0.9018557869386599,OK
500,0.1,5,3,0.1,0.9,0.7,3,1,0.8433816863100635,0.8419462731831406,0.8433816863100635,0.9280546979864995,0.9276444753239368,0.8979742173112338,OK
500,0.1,8,5,0.1,0.9,0.9,3,0,0.842701722574796,0.8419294156181258,0.842701722574796,0.927200598528844,0.9259825647331178,0.9658025216036266,OK
500,0.1,5,5,0.3,0.9,0.9,1,1,0.8433816863100635,0.8419148694893968,0.8433816863100635,0.9285978636063884,0.9273898048476467,0.9007508145629692,OK
500,0.1,5,3,0.0,0.9,0.7,3,0,0.8430417044424298,0.8416892189166262,0.8430417044424298,0.9287457263222466,0.9275179531132606,0.8984558719365349,OK
500,0.1,5,5,0.0,0.9,0.7,1,0,0.8429283771532184,0.8416757259656574,0.8429283771532184,0.9291501080085962,0.9272767229840134,0.8983708740614818,OK
500,0.1,5,3,0.0,0.9,0.9,1,1,0.843155031731641,0.8416703308807693,0.843155031731641,0.9284757337448739,0.9280213666819958,0.9041507295650942,OK
500,0.1,8,5,0.0,0.9,0.7,1,1,0.8422484134179511,0.8415325998552554,0.8422484134179511,0.9270302412504247,0.9260232493170933,0.9687774472304859,OK
500,0.1,5,3,0.0,0.9,0.9,3,0,0.8434950135992747,0.8415220173965285,0.8434950135992747,0.928576120790134,0.9277328745477822,0.9015724606884827,OK
500,0.1,8,3,0.3,0.9,0.7,3,0,0.8423617407071623,0.8415212986843504,0.8423617407071623,0.9283904972790252,0.9275006565342604,0.965660858478538,OK
500,0.1,5,5,0.3,0.9,0.9,1,0,0.8429283771532184,0.841488809429691,0.8429283771532184,0.9279306887592184,0.9277934538027068,0.9012891344383057,OK
500,0.1,8,5,0.0,0.9,0.9,1,1,0.8422484134179511,0.8414738807928178,0.8422484134179511,0.9268263445214001,0.925474761148471,0.9731123388581953,OK
500,0.1,5,3,0.3,0.9,0.9,1,0,0.842701722574796,0.8413384989539681,0.842701722574796,0.9289214036514515,0.9279292979575778,0.9061906785663691,OK
500,0.1,5,5,0.1,0.9,0.9,3,0,0.8425883952855848,0.8412631992152158,0.8425883952855848,0.9283423276887595,0.9276353990690266,0.8978325541861454,OK
500,0.1,5,3,0.1,0.9,0.9,3,1,0.842701722574796,0.8412443198032641,0.842701722574796,0.9287910045805636,0.9277618335283077,0.8995608443122255,OK
500,0.1,5,3,0.1,0.9,0.7,1,1,0.8424750679963735,0.8412342644382539,0.8424750679963735,0.9285722464053228,0.9278052560111896,0.8999858336874912,OK
500,0.1,8,5,0.0,0.9,0.7,1,0,0.8419084315503174,0.8412130443629456,0.8419084315503174,0.9269084005221052,0.9264601849268752,0.9680974642300609,OK
500,0.1,5,5,0.3,0.9,0.7,1,0,0.8423617407071623,0.8412047167452066,0.8423617407071623,0.9283327284666896,0.9277328760746778,0.8984275393115172,OK
500,0.1,8,3,0.3,0.9,0.9,1,1,0.8419084315503174,0.8411984042460148,0.8419084315503174,0.9274275680868194,0.9268045124055988,0.9717240402323275,OK
500,0.1,8,3,0.3,0.9,0.9,3,1,0.8420217588395286,0.841157193762564,0.8420217588395286,0.9276037080291364,0.9266194599646351,0.9649808754781131,OK
500,0.1,5,3,0.1,0.9,0.9,1,0,0.8422484134179511,0.841113539331531,0.8422484134179511,0.9286983663049264,0.9279873442113882,0.9063323416914577,OK
500,0.1,5,5,0.3,0.9,0.7,3,1,0.8424750679963735,0.8410942221827896,0.8424750679963735,0.928455320941316,0.9276542488385344,0.8938943193086839,OK
500,0.1,8,3,0.3,0.9,0.9,3,0,0.841795104261106,0.8410772337628853,0.841795104261106,0.927714099082939,0.9265225498623189,0.9712140529820088,OK
500,0.1,5,3,0.3,0.9,0.9,3,0,0.8424750679963735,0.8410313456762414,0.8424750679963735,0.9289690528019666,0.9276497032797671,0.9009208103130755,OK
500,0.1,8,3,0.1,0.9,0.9,1,1,0.8416817769718948,0.8410000301632714,0.8416817769718948,0.9272517172776976,0.9256494378532212,0.9797705057373566,OK
500,0.1,8,3,0.3,0.9,0.7,1,0,0.8416817769718948,0.8409413381531892,0.8416817769718948,0.9277063503133164,0.9275162870699714,0.9728856778580536,OK
500,0.1,8,5,0.3,0.9,0.7,1,1,0.841795104261106,0.8408844521498934,0.841795104261106,0.9270750568956301,0.9273951818167774,0.9603059923501912,OK
500,0.1,5,3,0.0,0.9,0.7,3,1,0.8422484134179511,0.840849875843602,0.8422484134179511,0.9280384776142672,0.9277044376244271,0.8963875903102423,OK
